Web,Código,Descripción,Precio,Relación,Medida,Código Companía,Companía,Existencia,Loc : Habilitado,Loc : Autorizado,CodigoProducto,Producto,Peligrosidad,ONU,Cant Pallet,CodigoTipo,Subtipo,CodigoRubro,Tipo,Rubro,Descrip.Facturacion,Ferti Bolsa Granel,DivDepo,Densidad
1,1,ALFALFA BACANA Peleteada (Bolsa x 25Kgs),0,25,Kgs.,14,AGVANCE S.A.,0,0,0,261,ALFALFA GRUPO 8-9-10,0,0,0,1,ALFALFAS,3,FORRAJERA,SEMILLAS,Alfalfa,,Sem;Fert;SB,1
1,2,ALFALFA WL 903 C/Gaucho (Bolsa x 25Kgs),0,25,Kgs.,14,AGVANCE S.A.,0,0,0,261,ALFALFA GRUPO 8-9-10,0,0,0,1,ALFALFAS,3,FORRAJERA,SEMILLAS,Alfalfa,,Sem;Fert;SB,1
1,3,LIQUIDO UAN 32% Profertil,0,1,Tn.,7,PROFERTIL S.A.,0,1,0,477,LIQUIDO UAN,0,0,0,59,LIQUIDO,2,NITROGENADO,FERTILIZANTES,LIQUIDO,Granel,Sem;Fert;SB,1000
0,4,LIQUIDO UAN 32% Petrobras,0,1,Tn.,8,PETROBRAS ENERGIA S.A.,0,0,0,477,LIQUIDO UAN,0,0,0,59,LIQUIDO,2,NITROGENADO,FERTILIZANTES,LIQUIDO,Granel,Sem;Fert;SB,1000
0,5,"LIQUIDO 29-3,9 Petrobras (85 Uan-15 Ats)",0,1,Tn.,8,PETROBRAS ENERGIA S.A.,0,0,0,476,LIQUIDO MEZCLA,0,0,0,59,LIQUIDO,2,NITROGENADO,FERTILIZANTES,LIQUIDO,Granel,Sem;Fert;SB,1000
0,6,"LIQUIDO 30-2,6 Petrobras (90 Uan-10 Ats)",0,1,Tn.,8,PETROBRAS ENERGIA S.A.,0,0,0,476,LIQUIDO MEZCLA,0,0,0,59,LIQUIDO,2,NITROGENADO,FERTILIZANTES,LIQUIDO,Granel,Sem;Fert;SB,1000
0,7,"LIQUIDO 28-5,2 Petrobras (80 Uan- 20Ats)",0,1,Tn.,8,PETROBRAS ENERGIA S.A.,0,0,0,476,LIQUIDO MEZCLA,0,0,0,59,LIQUIDO,2,NITROGENADO,FERTILIZANTES,LIQUIDO,Granel,Sem;Fert;SB,1000
0,8,DAP Petrobras (Bolsa x 50 Kgs),0,0.05,Tn.,8,PETROBRAS ENERGIA S.A.,0,0,0,455,DAP,0,0,0,58,SOLIDO BOLSA,2,FOSFORADO,FERTILIZANTES,DAP,,Sem;Fert;SB,1000
0,9,DAP Profertil (Bolsa x 50 Kgs),0,0.05,Tn.,7,PROFERTIL S.A.,0,1,0,455,DAP,0,0,0,58,SOLIDO BOLSA,2,FOSFORADO,FERTILIZANTES,DAP,,Sem;Fert;SB,1000
0,10,MAP Petrobras (Bolsa x 50 Kgs),0,0.05,Tn.,8,PETROBRAS ENERGIA S.A.,0,0,0,457,MAP,0,0,0,58,SOLIDO BOLSA,2,FOSFORADO,FERTILIZANTES,MAP,,Sem;Fert;SB,1000
0,11,MAP Profertil (Bolsa x 50 Kgs),0,0.05,Tn.,7,PROFERTIL S.A.,0,1,0,457,MAP,0,0,0,58,SOLIDO BOLSA,2,FOSFORADO,FERTILIZANTES,MAP,,Sem;Fert;SB,1000
0,12,SPS Petrobras (Bolsa x 50 Kgs),0,0.05,Tn.,8,PETROBRAS ENERGIA S.A.,0,0,0,464,SPS,0,0,0,58,SOLIDO BOLSA,2,FOSFORADO,FERTILIZANTES,SPS,,Sem;Fert;SB,1000
0,13,SPS Profertil (Bolsa x 50 Kgs),0,0.05,Tn.,7,PROFERTIL S.A.,0,1,0,464,SPS,0,0,0,58,SOLIDO BOLSA,2,FOSFORADO,FERTILIZANTES,SPS,,Sem;Fert;SB,1000
