Year,Week,Product,UOM,Deposit,Quantity
2020,1,102,Lts.,1,2.0
2020,1,102,Lts.,3,40.0
2020,1,102,Lts.,14,7.0
2020,1,102,Lts.,15,81.0
2020,1,102,Lts.,61,10.0
2020,1,102,Lts.,63,25.0
2020,1,103,Kgs.,2,0.3
2020,1,104,Lts.,10,4.0
2020,1,104,Lts.,15,2.5
2020,1,104,Lts.,61,10.0
2020,1,104,Lts.,63,7.0
2020,1,106,Lts.,63,5.0
2020,1,135,Lts.,1,5.0
2020,1,142,Pack,15,1.0
2020,1,157,Lts.,1,80.0
2020,1,157,Lts.,15,60.0
2020,1,158,Lts.,1,400.0
2020,1,158,Lts.,2,280.0
2020,1,158,Lts.,3,100.0
2020,1,158,Lts.,14,240.0
2020,1,158,Lts.,15,760.0
2020,1,158,Lts.,61,340.0
2020,1,158,Lts.,62,520.0
2020,1,158,Lts.,63,900.0
2020,1,159,Lts.,2,8.0
2020,1,159,Lts.,3,9.0
2020,1,159,Lts.,10,15.0
2020,1,159,Lts.,14,72.0
2020,1,159,Lts.,15,55.0
2020,1,159,Lts.,61,4.0
2020,1,159,Lts.,62,34.0
2020,1,159,Lts.,63,42.0
2020,1,159,Lts.,98,2.0
2020,1,160,Lts.,1,10.0
2020,1,160,Lts.,2,80.0
2020,1,160,Lts.,3,150.0
2020,1,160,Lts.,4,20.0
2020,1,160,Lts.,10,10.0
2020,1,160,Lts.,15,90.0
2020,1,160,Lts.,61,130.0
2020,1,160,Lts.,62,120.0
2020,1,160,Lts.,63,80.0
2020,1,161,Pack,1,7.0
2020,1,161,Pack,14,3.0
2020,1,161,Pack,62,34.0
2020,1,165,Lts.,2,10.0
2020,1,166,Lts.,1,6.0
2020,1,166,Lts.,2,2.0
2020,1,166,Lts.,15,7.0
2020,1,166,Lts.,61,5.0
2020,1,166,Lts.,62,29.0
2020,1,166,Lts.,63,6.0
2020,1,167,Lts.,2,140.0
2020,1,168,Lts.,10,60.0
2020,1,168,Lts.,14,440.0
2020,1,168,Lts.,15,860.0
2020,1,168,Lts.,61,100.0
2020,1,168,Lts.,62,820.0
2020,1,168,Lts.,63,60.0
2020,1,238,Unid.,15,1.0
2020,1,249,Kgs.,63,310.0
2020,1,258,Lts.,14,20.0
2020,1,258,Lts.,15,10.0
2020,1,258,Lts.,61,160.0
2020,1,258,Lts.,62,50.0
2020,1,258,Lts.,63,160.0
2020,1,259,Pack,62,2.0
2020,1,282,Kgs.,62,7.0
2020,1,292,Pack,15,16.0
2020,1,292,Pack,63,16.0
2020,1,299,Lts.,62,95.0
2020,1,299,Lts.,63,480.0
2020,1,380,Kgs.,2,420.0
2020,1,380,Kgs.,14,40.0
2020,1,380,Kgs.,15,780.0
2020,1,380,Kgs.,62,245.0
2020,1,380,Kgs.,63,1335.0
2020,1,389,Lts.,62,750.0
2020,1,396,Pack,15,1.0
2020,1,41,Lts.,2,60.0
2020,1,41,Lts.,14,20.0
2020,1,41,Lts.,15,60.0
